group,home_code,away_code,kickoff_at
A,A1,A2,2026-06-12 16:00
A,A3,A4,2026-06-12 16:00
A,A1,A3,2026-06-18 16:00
A,A2,A4,2026-06-18 16:00
A,A1,A4,2026-06-24 16:00
A,A2,A3,2026-06-24 16:00
B,B1,B2,2026-06-12 16:00
B,B3,B4,2026-06-12 16:00
B,B1,B3,2026-06-18 16:00
B,B2,B4,2026-06-18 16:00
B,B1,B4,2026-06-24 16:00
B,B2,B3,2026-06-24 16:00
C,C1,C2,2026-06-12 16:00
C,C3,C4,2026-06-12 16:00
C,C1,C3,2026-06-18 16:00
C,C2,C4,2026-06-18 16:00
C,C1,C4,2026-06-24 16:00
C,C2,C3,2026-06-24 16:00
D,D1,D2,2026-06-12 16:00
D,D3,D4,2026-06-12 16:00
D,D1,D3,2026-06-18 16:00
D,D2,D4,2026-06-18 16:00
D,D1,D4,2026-06-24 16:00
D,D2,D3,2026-06-24 16:00
E,E1,E2,2026-06-12 16:00
E,E3,E4,2026-06-12 16:00
E,E1,E3,2026-06-18 16:00
E,E2,E4,2026-06-18 16:00
E,E1,E4,2026-06-24 16:00
E,E2,E3,2026-06-24 16:00
F,F1,F2,2026-06-12 16:00
F,F3,F4,2026-06-12 16:00
F,F1,F3,2026-06-18 16:00
F,F2,F4,2026-06-18 16:00
F,F1,F4,2026-06-24 16:00
F,F2,F3,2026-06-24 16:00
G,G1,G2,2026-06-12 16:00
G,G3,G4,2026-06-12 16:00
G,G1,G3,2026-06-18 16:00
G,G2,G4,2026-06-18 16:00
G,G1,G4,2026-06-24 16:00
G,G2,G3,2026-06-24 16:00
H,H1,H2,2026-06-12 16:00
H,H3,H4,2026-06-12 16:00
H,H1,H3,2026-06-18 16:00
H,H2,H4,2026-06-18 16:00
H,H1,H4,2026-06-24 16:00
H,H2,H3,2026-06-24 16:00
I,I1,I2,2026-06-12 16:00
I,I3,I4,2026-06-12 16:00
I,I1,I3,2026-06-18 16:00
I,I2,I4,2026-06-18 16:00
I,I1,I4,2026-06-24 16:00
I,I2,I3,2026-06-24 16:00
J,J1,J2,2026-06-12 16:00
J,J3,J4,2026-06-12 16:00
J,J1,J3,2026-06-18 16:00
J,J2,J4,2026-06-18 16:00
J,J1,J4,2026-06-24 16:00
J,J2,J3,2026-06-24 16:00
K,K1,K2,2026-06-12 16:00
K,K3,K4,2026-06-12 16:00
K,K1,K3,2026-06-18 16:00
K,K2,K4,2026-06-18 16:00
K,K1,K4,2026-06-24 16:00
K,K2,K3,2026-06-24 16:00
L,L1,L2,2026-06-12 16:00
L,L3,L4,2026-06-12 16:00
L,L1,L3,2026-06-18 16:00
L,L2,L4,2026-06-18 16:00
L,L1,L4,2026-06-24 16:00
L,L2,L3,2026-06-24 16:00
