name,code,flag,group
Equipo A1,A1,,A
Equipo A2,A2,,A
Equipo A3,A3,,A
Equipo A4,A4,,A
Equipo B1,B1,,B
Equipo B2,B2,,B
Equipo B3,B3,,B
Equipo B4,B4,,B
Equipo C1,C1,,C
Equipo C2,C2,,C
Equipo C3,C3,,C
Equipo C4,C4,,C
Equipo D1,D1,,D
Equipo D2,D2,,D
Equipo D3,D3,,D
Equipo D4,D4,,D
Equipo E1,E1,,E
Equipo E2,E2,,E
Equipo E3,E3,,E
Equipo E4,E4,,E
Equipo F1,F1,,F
Equipo F2,F2,,F
Equipo F3,F3,,F
Equipo F4,F4,,F
Equipo G1,G1,,G
Equipo G2,G2,,G
Equipo G3,G3,,G
Equipo G4,G4,,G
Equipo H1,H1,,H
Equipo H2,H2,,H
Equipo H3,H3,,H
Equipo H4,H4,,H
Equipo I1,I1,,I
Equipo I2,I2,,I
Equipo I3,I3,,I
Equipo I4,I4,,I
Equipo J1,J1,,J
Equipo J2,J2,,J
Equipo J3,J3,,J
Equipo J4,J4,,J
Equipo K1,K1,,K
Equipo K2,K2,,K
Equipo K3,K3,,K
Equipo K4,K4,,K
Equipo L1,L1,,L
Equipo L2,L2,,L
Equipo L3,L3,,L
Equipo L4,L4,,L
